0 494,65 -5
1 494,57 -6,65000000000001
2 494,49 -3,33333333333333
3 494,4 -5,26666666666667
4 494,32 -4,21666666666667
5 494,24 -6,41666666666667
6 494,15 -5,40000000000001
7 494,07 -1,44999999999999
8 493,99 -6,26666666666667
9 493,9 -3
10 493,82 -4,63333333333333
11 493,74 -4,05000000000001
12 493,65 -4,05
13 493,57 -4,03333333333333
14 493,48 -7,73333333333333
15 493,4 -0,833333333333343
16 493,32 -6,11666666666666
17 493,23 -4,06666666666668
18 493,15 -7,84999999999999
19 493,07 -1,34999999999999
20 492,98 -2,90000000000001
21 492,9 -2,56666666666668
22 492,82 -6,36666666666667
23 492,73 -4,36666666666667
24 492,65 -4,28333333333333
25 492,57 -6,91666666666667
26 492,48 -4,98333333333333
27 492,4 -0,199999999999989
28 492,32 -0,0666666666666629
29 492,23 -3,91666666666667
30 492,15 -5,81666666666668
31 492,07 -3,11666666666667
32 491,98 -3
33 491,9 -2,71666666666667
34 491,82 -5,81666666666668
35 491,73 0,716666666666669
36 491,65 -3,58333333333333
37 491,57 -4,68333333333332
38 491,48 -2,84999999999999
39 491,4 -2,26666666666665
40 491,32 -1,44999999999999
41 491,23 -0,383333333333326
42 491,15 -2,83333333333333
43 491,07 -0,449999999999989
44 490,98 -6,38333333333335
45 490,9 -3,38333333333333
46 490,82 -3,36666666666667
47 490,73 -0,683333333333337
48 490,65 -5,25
49 490,57 -6,31666666666668
50 490,48 0,116666666666674
51 490,4 -5,75
52 490,31 -5,09999999999999
53 490,23 -5,41666666666667
54 490,15 -7,86666666666667
55 490,06 -0,566666666666663
56 489,98 -4,56666666666668
57 489,9 -5,71666666666668
58 489,81 -5,91666666666667
59 489,73 -5,38333333333335
60 489,65 -1,66666666666667
61 489,56 -1,5
62 489,48 -6,36666666666667
63 489,4 -2,86666666666665
64 489,31 -2,75
65 489,23 -0,383333333333326
66 489,15 -5,16666666666667
67 489,06 -4,08333333333333
68 488,98 -3,34999999999999
69 488,9 -5,05
70 488,81 -3,58333333333333
71 488,73 -5,80000000000001
72 488,65 -11,7833333333333
73 488,56 -3,25
74 488,48 -9,13333333333333
75 488,4 -3,41666666666666
76 488,31 -6,58333333333334
77 488,23 -5,34999999999999
78 488,15 -6,66666666666667
79 488,06 -3,90000000000001
80 487,98 -2,21666666666667
81 487,9 -3,28333333333334
82 487,81 -5,83333333333333
83 487,73 -1,30000000000001
84 487,65 -8,09999999999999
85 487,56 -1,41666666666667
86 487,48 -7,21666666666667
87 487,4 -2,5
88 487,31 -1,51666666666667
89 487,23 -0,916666666666671
90 487,14 -2,63333333333333
91 487,06 -3,59999999999999
92 486,98 3,56666666666668
93 486,89 58,0666666666667
94 486,81 166,416666666667
95 486,73 221,883333333333
96 486,64 117,216666666667
97 486,56 55,2333333333333
98 486,48 12,3
99 486,39 2,31666666666666
100 486,31 0,75
101 486,23 -5,34999999999999
102 486,14 -7,26666666666667
103 486,06 -4,86666666666667
104 485,98 -4,63333333333335
105 485,89 -5,56666666666668
106 485,81 -7,33333333333333
107 485,73 -4,8
108 485,64 -5,93333333333332
109 485,56 -4,33333333333333
110 485,48 -1,23333333333333
111 485,39 -5,09999999999999
112 485,31 -4,93333333333334
113 485,23 -3,08333333333333
114 485,14 -4,68333333333332
115 485,06 -4,21666666666667
116 484,98 -6,18333333333332
117 484,89 -3,56666666666668
118 484,81 -3,26666666666667
119 484,73 -5,46666666666667
120 484,64 -2,31666666666668
121 484,56 -5,3
122 484,48 -3,09999999999999
123 484,39 -7,01666666666667
124 484,31 -5,88333333333333
125 484,23 -1,5
126 484,14 -1,8
127 484,06 2,28333333333333
128 483,97 2,01666666666667
129 483,89 -1,38333333333333
130 483,81 2,63333333333333
131 483,72 3,80000000000001
132 483,64 -0,966666666666669
133 483,56 -1,01666666666667
134 483,47 -1,34999999999999
135 483,39 1,94999999999999
136 483,31 -1,13333333333335
137 483,22 1,84999999999999
138 483,14 0,416666666666671
139 483,06 -0,800000000000011
140 482,97 -0,0166666666666657
141 482,89 -3,46666666666667
142 482,81 -1,33333333333333
143 482,72 0,833333333333329
144 482,64 -3,43333333333334
145 482,56 0,383333333333326
146 482,47 -3,43333333333332
147 482,39 -2,31666666666666
